X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1451721.83460601,566090.164606005,5307,969941,2019,9,September,6,6,Friday,1518,20190906151901,21,"Rear end, slow or stop",2,8,Failure to reduce speed,,,35.291501,-80.837518,
1438325.82648101,505707.091481,5308,1072553,2021,1,January,22,6,Friday,1329,20210122132900,23,"Left turn, same roadway",2,33,Unable to determine,,,35.124928,-80.878574,
1475874.10835601,546301.354606003,5309,1167265,2022,7,July,25,2,Monday,1344,20220725134400,1,Ran off road right,2,33,Unable to determine,,,35.238338,-80.755418,
1481736.65835601,553437.520856008,5310,1227711,2023,9,September,22,6,Friday,952,20230922095200,14,Pedestrian,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.258226,-80.736205,
1452974.33148101,544918.813981012,5311,960033,2019,7,July,8,2,Monday,204,20190708050502,3,Ran off road straight ahead,2,8,Failure to reduce speed,,,35.233403,-80.832012,
1497528.30335601,541272.969606012,5312,1016159,2020,2,February,17,2,Monday,2300,20200217230101,15,Pedalcyclist,1,,,,,35.225554,-80.682622,
1424134.35835601,557542.068356007,5313,927695,2019,1,January,12,7,Saturday,1439,20190112143900,27,Head on,2,11,Crossed centerline/going wrong way,,,35.26658,-80.929396,
1433773.27960601,511400.024606004,5314,1221628,2023,8,August,3,5,Thursday,1507,20230803150700,1,Ran off road right,2,0,No contributing circumstance indicated,,,35.14033,-80.89416,
1490993.964606,582227.650856003,5315,1126531,2021,11,November,23,3,Tuesday,2113,20211123211300,30,Angle,1,30,Alcohol use,,,35.33776,-80.706857,
1425274.10960601,547931.421481013,5316,1035617,2020,6,June,17,4,Wednesday,2021,20200614202101,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.240239,-80.924954,
1453058.807106,574681.233981013,5317,1131431,2022,1,January,20,5,Thursday,2200,20220120220005,30,Angle,2,4,Disregarded traffic signals,,,35.31517,-80.83357,
1453394.59210601,545989.977106005,5318,1196347,2022,12,December,31,7,Saturday,1751,20221231175100,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.236367,-80.830671,
1473344.44210601,565134.292106003,5319,956169,2019,6,June,20,5,Thursday,853,20190620085302,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.289953,-80.76501,
1482831.949606,555225.289606005,5320,1114232,2021,6,June,27,1,Sunday,213,20210627021301,14,Pedestrian,1,,,,,35.26319,-80.732641,
1475641.03085601,525822.063356012,5321,1052979,2020,10,October,7,4,Wednesday,1756,20201007175605,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.182065,-80.754986,
1473839.36710601,565156.435856014,5322,991963,2019,12,December,22,1,Sunday,1634,20191222163400,28,"Sideswipe, same direction",2,34,Unknown,,,35.290038,-80.763353,
1474235.55210601,563718.493981004,5323,926203,2019,1,January,1,3,Tuesday,112,20190101011202,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.286107,-80.76194,
1451744.167106,545162.132731006,5324,1033488,2020,7,July,18,7,Saturday,628,20200718062801,13,Other non-collision*,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.234009,-80.836146,
1417964.34398101,576966.942731008,5325,977248,2019,10,October,8,3,Tuesday,1709,20191008170902,23,"Left turn, same roadway",2,9,Improper turn,,,35.319611,-80.951342,
1480298.83335601,580226.536481008,5326,939310,2019,3,March,21,5,Thursday,1703,20190321170303,23,"Left turn, same roadway",2,33,Unable to determine,,,35.331752,-80.742596,
1487532.25585601,523311.92460601,5327,1240391,2023,12,December,28,5,Thursday,1349,20231228134901,1,Ran off road right,2,6,Exceeded authorized speed limit,,,35.17574,-80.71505,
1426733.977106,535782.25273101,5328,930163,2019,1,January,23,4,Wednesday,1425,20190123142500,20,Parked motor vehicle,1,8,Failure to reduce speed,,,35.206941,-80.919279,
1491069.52148101,582267.848356009,5329,1071085,2020,5,May,7,5,Thursday,1805,20200507180801,27,Head on,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.337874,-80.706606,
1484082.838356,575423.897731006,5330,1112705,2021,7,July,26,2,Monday,226,20210726022600,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.31874,-80.72963,
1486617.981481,531612.309606001,5331,1224724,2023,8,August,28,2,Monday,828,20230828082801,21,"Rear end, slow or stop",2,35,"Driver distracted by electronic communication device (cell phone, texting, etc.",0,None (no unusual conditions),35.1985,-80.71859,
1450575.995856,546493.101481006,5332,1121801,2021,10,October,11,2,Monday,246,20211011024601,1,Ran off road right,1,30,Alcohol use,,,35.237606,-80.84014,
1439259.028981,517184.728981003,5333,1233707,2023,11,November,6,2,Monday,1156,20231106115605,14,Pedestrian,1,20,Inattention,,,35.156508,-80.876179,
1426764.64210601,556220.64398101,5334,1216114,2023,6,June,17,7,Saturday,2206,20230617220602,14,Pedestrian,2,28,Visibility obstructed,,,35.26309,-80.9205,
1502619.92960601,535594.305231005,5335,1058897,2020,10,October,1,5,Thursday,2240,20201001224000,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.210189,-80.665256,
1452050.60023101,559807.084606007,5336,1082377,2020,8,August,20,5,Thursday,735,20200820073500,27,Head on,1,6,Exceeded authorized speed limit,,,35.274257,-80.836027,
1481448.308356,579587.566481009,5337,1230871,2023,10,October,16,2,Monday,638,20231016063806,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.330052,-80.738705,
1489310.82773101,581588.69085601,5338,1133494,2022,2,February,12,7,Saturday,2042,20220212204200,29,"Sideswipe, opposite direction",2,33,Unable to determine,,,35.335925,-80.712463,
1410588.08210601,501721.462731004,5339,1206068,2023,3,March,26,1,Sunday,19,20230326001903,27,Head on,1,6,Exceeded authorized speed limit,,,35.112501,-80.971057,
1476859.11148101,548505.821481004,5340,1104683,2021,6,June,22,3,Tuesday,1609,20210622160902,24,"Left turn, different roadways",2,20,Inattention,0,None (no unusual conditions),35.244442,-80.75225,
1480922.81523101,567680.672106013,5341,1213747,2023,5,May,29,2,Monday,1733,20230529173301,15,Pedalcyclist,2,28,Visibility obstructed,,,35.297316,-80.739767,
1484531.637731,564046.396481007,5342,1073795,2020,12,December,23,4,Wednesday,2144,20201223214401,24,"Left turn, different roadways",1,30,Alcohol use,,,35.287505,-80.727462,
1461271.95148101,569394.473356009,5343,1092627,2021,4,April,29,5,Thursday,1639,20210429163900,21,"Rear end, slow or stop",2,25,Followed too closely,,,35.30106,-80.80572,
1440483.106481,544574.676481009,5344,1171078,2022,8,August,21,1,Sunday,108,20220821010800,28,"Sideswipe, same direction",1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.231817,-80.873814,
1479285.043356,518291.53460601,5345,990788,2019,12,December,17,3,Tuesday,1619,20191217161900,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.161553,-80.74235,
1436086.25460601,519666.244606003,5346,1206027,2023,3,March,25,7,Saturday,1713,20230325171301,21,"Rear end, slow or stop",2,8,Failure to reduce speed,,,35.16316,-80.88695,
1446645.403981,557727.86210601,5347,948434,2019,5,May,13,2,Monday,1927,20190513192701,21,"Rear end, slow or stop",2,20,Inattention,,,35.268269,-80.854004,
1467399.21023101,553640.085231006,5348,1180458,2022,11,November,1,3,Tuesday,718,20221101071802,24,"Left turn, different roadways",1,19,Failed to yield right of way,,,35.258084,-80.784238,
1484622.47523101,536961.306481004,5349,1103328,2021,6,June,14,2,Monday,2057,20210614205701,30,Angle,1,9,Improper turn,,,35.2131,-80.72558,
1433010.90773101,537325.80023101,5350,941559,2019,3,March,22,6,Friday,2300,20190322230000,23,"Left turn, same roadway",1,34,Unknown,,,35.211513,-80.898368,
1440658.368981,503097.537106007,5351,1133512,2022,2,February,13,1,Sunday,145,20220213014801,19,Fixed object,2,30,Alcohol use,,,35.11788,-80.87061,
1427312.86335601,544033.04960601,5352,1012140,2019,12,December,13,6,Friday,652,20191213065201,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.229638,-80.917875,
1495526.587731,537519.943356007,5353,1236977,2023,12,December,2,7,Saturday,2057,20231202205705,27,Head on,1,11,Crossed centerline/going wrong way,,,35.21515,-80.68911,
1434426.95835601,509347.667106003,5354,1227116,2023,9,September,16,7,Saturday,2354,20230916235401,32,Other collision with vehicle*,2,33,Unable to determine,,,35.134726,-80.891843,
1464780.44210601,561471.193356007,5355,1180103,2022,11,November,1,3,Tuesday,2128,20221101212800,24,"Left turn, different roadways",2,33,Unable to determine,,,35.279468,-80.793483,
1438485.652731,556774.072106004,5356,2244259,2021,7,July,31,7,Saturday,258,20210731025800,14,Pedestrian,1,33,Unable to determine,,,35.265227,-80.881276,
1444267.448981,587689.593981013,5357,1107154,2021,6,June,29,3,Tuesday,1403,20210629140301,24,"Left turn, different roadways",2,,,,,35.350456,-80.863854,
1408448.38085601,499597.80023101,5358,993411,2019,7,July,16,3,Tuesday,835,20190716090107,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.10655,-80.978069,
1469716.39085601,489340.881481007,5359,1115491,2021,8,August,5,5,Thursday,1906,20210805190600,23,"Left turn, same roadway",1,19,Failed to yield right of way,,,35.081552,-80.772631,
1441169.039606,535426.201481014,5360,1202594,2023,2,February,21,3,Tuesday,2207,20230221220701,1,Ran off road right,1,20,Inattention,,,35.20672,-80.87094,
1472532.26773101,537116.441481009,5361,930996,2019,1,January,27,1,Sunday,2143,20190127214301,23,"Left turn, same roadway",1,19,Failed to yield right of way,,,35.212942,-80.766061,
1457955.38023101,581338.874606013,5362,2244257,2021,7,July,3,7,Saturday,1409,20210703140901,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.333707,-80.817567,
1458062.67398101,566695.290856004,5363,1031739,2020,4,April,9,5,Thursday,2110,20200409211000,29,"Sideswipe, opposite direction",1,5,Disregarded road markings,,,35.293484,-80.816309,
1450547.25273101,582672.698356003,5364,1039586,2020,6,June,16,3,Tuesday,435,20200616043500,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.336996,-80.842485,
1463963.11460601,566085.576481014,5365,1184133,2022,12,December,3,7,Saturday,2111,20221203211102,23,"Left turn, same roadway",2,33,Unable to determine,,,35.292104,-80.796501,
1466785.64273101,554585.15898101,5366,1142753,2022,5,May,22,1,Sunday,341,20220522034101,29,"Sideswipe, opposite direction",2,12,Improper lane change,,,35.26065,-80.78635,
1471665.40773101,584665.578356013,5367,1097967,2020,7,July,1,4,Wednesday,1958,20200701195801,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.343527,-80.771804,
1475741.570856,565352.392106012,5368,1044301,2020,3,March,25,4,Wednesday,2056,20200325205601,30,Angle,1,4,Disregarded traffic signals,,,35.290669,-80.756991,
1468572.527106,547976.217106014,5369,979155,2019,9,September,20,6,Friday,1422,20190919142203,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.242582,-80.779968,
1469104.59835601,562467.195856005,5370,1071014,2020,12,December,1,3,Tuesday,1808,20201201180802,21,"Rear end, slow or stop",1,30,Alcohol use,,,35.282418,-80.779056,
1437092.94460601,538835.819606006,5371,1115467,2021,7,July,31,7,Saturday,46,20210731004602,14,Pedestrian,1,6,Exceeded authorized speed limit,,,35.215875,-80.8848,
1403316.29835601,508310.149606004,5372,1129076,2021,12,December,21,3,Tuesday,1717,20211221171700,13,Other non-collision*,2,34,Unknown,,,35.130202,-80.995811,
1480642.539606,558808.978356004,5373,1219987,2023,7,July,20,5,Thursday,1621,20230720162100,27,Head on,2,32,Other*,,,35.27293,-80.740185,
1421798.47085601,532277.650231004,5374,1075725,2021,2,February,7,1,Sunday,537,20210207053700,2,Ran off road left,2,7,Exceeded safe speed for conditions,,,35.19705,-80.93557,
1430814.494606,522114.058356002,5375,1032834,2020,6,June,15,2,Monday,2125,20200615212500,27,Head on,1,11,Crossed centerline/going wrong way,,,35.169608,-80.904743,
1409481.711481,494671.093981013,5376,1212744,2023,5,May,21,1,Sunday,1342,20230521134203,30,Angle,2,19,Failed to yield right of way,,,35.093072,-80.974287,
1478436.336481,566391.370231003,5377,1019743,2020,5,May,10,1,Sunday,2119,20200510211905,14,Pedestrian,2,,,,,35.293654,-80.748023,
1403469.371481,504573.754606009,5378,1065465,2020,10,October,9,6,Friday,608,20201009060800,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.119946,-80.995048,
1478219.34960601,541994.238356009,5379,1196400,2023,1,January,1,1,Sunday,128,20230101012801,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,,,35.226619,-80.747311,
1487559.46898101,581165.770231009,5380,1210476,2023,5,May,4,5,Thursday,550,20230504055001,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.33468,-80.71831,
1438877.65835601,520413.032106012,5381,1216001,2023,6,June,17,7,Saturday,143,20230617014301,2,Ran off road left,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.165357,-80.877659,
1484580.932731,536960.208356008,5382,1118664,2021,9,September,10,6,Friday,2110,20210910211001,24,"Left turn, different roadways",1,19,Failed to yield right of way,,,35.213095,-80.725719,
1479005.557731,591382.480231002,5383,2244262,2021,8,August,22,1,Sunday,1147,20210822114701,1,Ran off road right,1,20,Inattention,,,35.362337,-80.74759,
1464777.01523101,561463.246481001,5384,1234045,2023,11,November,8,4,Wednesday,2113,20231108211300,27,Head on,1,7,Exceeded safe speed for conditions,,,35.279446,-80.793494,
1432196.305856,552373.988981009,5385,1138779,2022,4,April,11,2,Monday,1118,20220411183012,27,Head on,2,11,Crossed centerline/going wrong way,,,35.25281,-80.90206,
1473521.84835601,536806.921481013,5386,1131082,2022,1,January,15,7,Saturday,1915,20220115191800,28,"Sideswipe, same direction",2,33,Unable to determine,,,35.21214,-80.76273,
1460210.95773101,559511.660231009,5387,1126615,2021,11,November,24,4,Wednesday,1735,20211124173502,27,Head on,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.273857,-80.808672,
1408743.76710601,510473.676481009,5388,1163939,2022,6,June,24,6,Friday,2120,20220624212000,30,Angle,2,7,Exceeded safe speed for conditions,,,35.136444,-80.977806,
1494754.38148101,536204.505231008,5389,1137291,2022,3,March,26,7,Saturday,100,20220326012601,13,Other non-collision*,2,34,Unknown,0,None (no unusual conditions),35.2115,-80.69162,
1427640.95585601,536629.984606013,5390,1044698,2020,7,July,2,5,Thursday,1659,20200702165900,14,Pedestrian,2,20,Inattention,,,35.209318,-80.916298,
1485424.867731,539250.389606014,5391,1133780,2022,2,February,15,3,Tuesday,1717,20220215171703,1,Ran off road right,2,37,Driver distracted by other inside the vehicle,,,35.219427,-80.723027,
1434015.946481,549154.066481009,5392,1212670,2023,5,May,20,7,Saturday,1722,20230520172203,23,"Left turn, same roadway",2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.24406,-80.89576,
1444305.78585601,522991.381481007,5393,1041508,2020,7,July,25,7,Saturday,1248,20200725124806,23,"Left turn, same roadway",1,19,Failed to yield right of way,,,35.172721,-80.859661,
1465817.77335601,530640.578356013,5394,1073374,2020,7,July,17,6,Friday,2355,20200717235500,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.194821,-80.788147,
1491159.196481,535513.247106001,5395,1081088,2021,3,March,4,5,Thursday,1805,20210304180502,21,"Rear end, slow or stop",1,6,Exceeded authorized speed limit,,,35.209432,-80.703615,
1420798.04585601,556989.008356005,5396,1005266,2019,10,October,26,7,Saturday,2050,20191026205000,21,"Rear end, slow or stop",1,33,Unable to determine,,,35.264882,-80.940535,
1475415.45710601,573039.066481009,5397,1129118,2021,12,December,22,4,Wednesday,337,20211222034001,21,"Rear end, slow or stop",1,8,Failure to reduce speed,,,35.31177,-80.75854,
1427308.33585601,544030.589606002,5398,990974,2019,12,December,18,4,Wednesday,357,20191218035700,14,Pedestrian,2,19,Failed to yield right of way,,,35.229631,-80.91789,
1468764.262731,552207.97210601,5399,970189,2019,4,April,17,4,Wednesday,2114,20190417211403,14,Pedestrian,1,3,Disregarded other traffic signs,,,35.254217,-80.77958,
1410885.82710601,573378.632731006,5400,1050898,2020,9,September,5,7,Saturday,1740,20200905174002,23,"Left turn, same roadway",1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.309369,-80.974828,
1480626.78335601,533353.186481014,5401,1221981,2023,8,August,6,1,Sunday,224,20230806022406,23,"Left turn, same roadway",1,19,Failed to yield right of way,,,35.202996,-80.738744,
1444130.75085601,535447.328981012,5402,1196149,2022,12,December,29,5,Thursday,1822,20221229182202,24,"Left turn, different roadways",2,19,Failed to yield right of way,,,35.206931,-80.861028,
1443676.17773101,542044.76898101,5403,970845,2019,7,July,14,1,Sunday,241,20190714024100,2,Ran off road left,1,33,Unable to determine,,,35.225032,-80.862964,
1478480.899606,542447.185231,5404,1053759,2020,9,September,25,6,Friday,2154,20200925215400,2,Ran off road left,1,7,Exceeded safe speed for conditions,,,35.227876,-80.746462,
1445593.040856,571136.26898101,5405,1126688,2021,11,November,25,5,Thursday,2158,20211125215803,14,Pedestrian,1,6,Exceeded authorized speed limit,,,35.30505,-80.85837,
1412766.78835601,566406.308356002,5406,971340,2019,9,September,13,6,Friday,1343,20190913134304,28,"Sideswipe, same direction",2,19,Failed to yield right of way,,,35.290318,-80.968061,
1447826.684606,555404.184606001,5407,1024109,2020,5,May,29,6,Friday,920,20200529092007,1,Ran off road right,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",,,35.261946,-80.849902,
1442649.28085601,475433.086481005,5408,1205796,2023,3,March,17,6,Friday,2120,20230317212005,31,Backing up,2,21,Improper backing,,,35.041982,-80.862218,
1466313.56273101,580945.666481003,5409,1130626,2022,1,January,9,1,Sunday,220,20220109022101,30,Angle,2,30,Alcohol use,,,35.333044,-80.789523,
1456324.62835601,564861.958356008,5410,1127453,2021,12,December,5,1,Sunday,908,20211205090802,1,Ran off road right,2,30,Alcohol use,,,35.28836,-80.82202,
1439138.72585601,557570.537106007,5411,925582,2019,1,January,1,3,Tuesday,100,20190101010002,14,Pedestrian,2,,,,,35.267449,-80.879139,
1467194.06148101,538272.241481006,5412,1240545,2023,12,December,22,6,Friday,1745,20231222174501,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.215855,-80.784,
1425612.39648101,539219.48773101,5413,1027230,2020,6,June,14,1,Sunday,1742,20200614174201,21,"Rear end, slow or stop",1,0,No contributing circumstance indicated,,,35.216324,-80.923256,
1429861.79773101,510519.407106012,5414,1076343,2021,1,January,28,5,Thursday,2214,20210128221402,13,Other non-collision*,1,32,Other*,,,35.137705,-80.907185,
1462768.14273101,535583.507731006,5415,1025682,2020,6,June,15,2,Monday,246,20200613024603,1,Ran off road right,2,34,Unknown,,,35.208249,-80.798653,
1447424.50773101,558940.399606004,5416,1226530,2023,9,September,12,3,Tuesday,407,20230912040700,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.27164,-80.85147,
1408737.308981,510464.704606012,5417,1018542,2020,5,May,5,3,Tuesday,2300,20200505230201,21,"Rear end, slow or stop",2,7,Exceeded safe speed for conditions,,,35.136419,-80.977827,
1442451.76523101,536831.874606013,5418,2244267,2022,5,May,17,3,Tuesday,724,20220517072401,21,"Rear end, slow or stop",1,8,Failure to reduce speed,,,35.210648,-80.866735,
1451934.81273101,547299.335231006,5419,1201634,2023,2,February,14,3,Tuesday,629,20230214062902,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.23989,-80.83564,
1476668.22523101,581641.332731009,5420,1019962,2020,5,May,14,5,Thursday,1600,20200514160200,14,Pedestrian,2,20,Inattention,,,35.335463,-80.754851,
1433376.806481,533023.485856012,5421,1101746,2021,6,June,4,6,Friday,1911,20210604191100,14,Pedestrian,2,30,Alcohol use,,,35.199713,-80.896868,
1447297.85898101,571651.147106007,5422,999516,2019,7,July,6,7,Saturday,1801,20190706180102,21,"Rear end, slow or stop",1,7,Exceeded safe speed for conditions,,,35.306552,-80.852689,
1449126.78335601,544507.038981006,5423,1121463,2021,10,October,8,6,Friday,42,20211008004202,14,Pedestrian,2,30,Alcohol use,,,35.232076,-80.844869,
1450243.84398101,509834.477731004,5424,1006871,2020,3,March,5,5,Thursday,2027,20200305202700,28,"Sideswipe, same direction",2,0,No contributing circumstance indicated,,,35.13688,-80.838978,
1474139.24148101,509054.500231013,5425,1080041,2020,12,December,27,1,Sunday,2129,20201227212902,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.135927,-80.759017,
1468095.06273101,579274.100231007,5426,1123381,2021,10,October,26,3,Tuesday,731,20211026073102,30,Angle,2,19,Failed to yield right of way,0,None (no unusual conditions),35.32854,-80.78345,
1456932.232106,524435.560856014,5427,1076614,2021,2,February,12,6,Friday,2120,20210212212001,30,Angle,2,8,Failure to reduce speed,,,35.177331,-80.817504,
1450899.306481,511144.398356006,5428,1171729,2022,8,August,30,3,Tuesday,2350,20220830235601,1,Ran off road right,2,33,Unable to determine,,,35.140512,-80.836867,
1435317.78585601,546841.417731002,5429,928824,2019,1,January,23,4,Wednesday,645,20190123064500,14,Pedestrian,2,0,No contributing circumstance indicated,,,35.237775,-80.891253,
1459557.95210601,473827.757106006,5430,1109832,2021,7,July,15,5,Thursday,1937,20210715193705,30,Angle,2,19,Failed to yield right of way,,,35.03843,-80.805638,
1440889.03523101,554389.478981003,5431,950435,2019,5,May,23,5,Thursday,1826,20190523182602,23,"Left turn, same roadway",2,19,Failed to yield right of way,,,35.258801,-80.873075,
1408730.78398101,510467.382731006,5432,1121169,2021,10,October,5,3,Tuesday,1213,20211005121300,30,Angle,2,13,Use of improper lane,,,35.136426,-80.977849,
1439026.17898101,524677.838356003,5433,1235225,2023,11,November,18,7,Saturday,1702,20231118170302,23,"Left turn, same roadway",2,11,Crossed centerline/going wrong way,,,35.177081,-80.877432,
1460956.13960601,569258.256481007,5434,1217809,2023,7,July,2,1,Sunday,1443,20230702144300,21,"Rear end, slow or stop",2,33,Unable to determine,,,35.30067,-80.80677,
1432985.92835601,514478.542106003,5435,1126318,2021,11,November,22,2,Monday,541,20211122054101,23,"Left turn, same roadway",2,19,Failed to yield right of way,,,35.148746,-80.89699,
1423565.77273101,567718.662731007,5436,1027225,2020,5,May,3,1,Sunday,1738,20200503173802,1,Ran off road right,1,6,Exceeded authorized speed limit,,,35.294506,-80.931964,
1447212.40960601,491990.632731006,5437,1200381,2023,1,January,30,2,Monday,1742,20230130174200,25,"Right turn, same roadway",1,6,Exceeded authorized speed limit,,,35.087704,-80.848005,
1496454.386481,536568.698981002,5438,1239493,2023,12,December,20,4,Wednesday,1520,20231220152700,14,Pedestrian,1,6,Exceeded authorized speed limit,,,35.21258,-80.68595,
1473717.74085601,528621.801481009,5439,1080235,2021,1,January,9,7,Saturday,27,20210109002700,14,Pedestrian,1,0,No contributing circumstance indicated,,,35.189663,-80.761588,
1471872.53210601,537326.931481004,5440,1024830,2019,1,January,9,4,Wednesday,1751,20190109175102,14,Pedestrian,1,,,,,35.213488,-80.768282,
1444477.383981,543899.290856004,5441,1016045,2020,4,April,27,2,Monday,1410,20200427141000,1,Ran off road right,2,6,Exceeded authorized speed limit,,,35.230168,-80.860398,
1439550.698356,532014.687106013,5442,1032424,2020,5,May,5,3,Tuesday,1558,20200505155802,24,"Left turn, different roadways",1,2,Disregarded stop sign,,,35.197264,-80.876141,
1473071.338356,558924.845231012,5443,1047951,2020,9,September,19,7,Saturday,1804,20200919180402,2,Ran off road left,1,6,Exceeded authorized speed limit,,,35.272881,-80.765555,
1420584.89210601,532575.805856004,5444,1066347,2020,12,December,24,5,Thursday,345,20201224034500,1,Ran off road right,2,8,Failure to reduce speed,,,35.197804,-80.939651,
